numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
2,BHK,Apartment,Lohegaon,Pune,18.6058197,73.91240692,INR,2.0,0.0,Not Negotiable,Unfurnished,906.0,0.0,12000.0
1,BHK,Apartment,Anand Nagar,Pune,18.47437668,73.82054901,INR,1.0,0.0,Not Negotiable,Semi-Furnished,650.0,0.0,11000.0
1,RK,Studio Apartment,Wagholi,Pune,18.58033562,73.9805069,INR,1.0,0.0,Not Negotiable,Unfurnished,350.0,0.0,4500.0
3,BHK,Apartment,Sangamvadi,Pune,18.54178619,73.88245392,INR,2.0,0.0,Not Negotiable,Furnished,1500.0,0.0,35000.0
5,BHK,Independent House,Wadgaon Sheri,Pune,18.5601635,73.92492676,INR,5.0,0.0,Not Negotiable,Unfurnished,5000.0,0.0,110000.0
2,BHK,Apartment,Tathawade,Pune,18.64037323,73.73686218,INR,2.0,0.0,Not Negotiable,Semi-Furnished,975.0,0.0,15500.0
1,BHK,Independent House,Hinjewadi,Pune,18.57936478,73.73588562,INR,1.0,0.0,Not Negotiable,Unfurnished,540.0,0.0,24000.0
2,BHK,Apartment,Viman Nagar,Pune,18.57242584,73.9076767,INR,2.0,0.0,Not Negotiable,Semi-Furnished,800.0,0.0,40000.0
2,BHK,Apartment,Undri,Pune,18.44660759,73.90554047,INR,2.0,0.0,Not Negotiable,Unfurnished,1050.0,0.0,16000.0
2,BHK,Apartment,Pimple Nilakh,Pune,18.56818581,73.79068756,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1050.0,0.0,38000.0
1,BHK,Apartment,Kharadi,Pune,18.55333519,73.94477844,INR,1.0,0.0,Not Negotiable,Unfurnished,700.0,0.0,23000.0
5,BHK,Apartment,Tathawade,Pune,18.62474632,73.73732758,INR,5.0,0.0,Not Negotiable,Semi-Furnished,2500.0,0.0,51000.0
3,BHK,Apartment,Lohegaon,Pune,18.60659409,73.90982056,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1280.0,0.0,23000.0
3,BHK,Apartment,Mohammed wadi,Pune,18.47053337,73.91357422,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1630.0,0.0,41000.0
3,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.4641552,73.90855408,INR,4.0,0.0,Not Negotiable,Semi-Furnished,2700.0,0.0,75000.0
3,BHK,Apartment,Bavdhan,Pune,18.51470566,73.77187347,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1333.0,0.0,31000.0
3,BHK,Apartment,Balewadi,Pune,18.57761574,73.77683258,INR,3.0,0.0,Not Negotiable,Unfurnished,1500.0,0.0,38000.0
3,BHK,Independent House,Bavdhan,Pune,18.5135746,73.76791382,INR,3.0,0.0,Not Negotiable,Furnished,2300.0,0.0,85000.0
1,BHK,Apartment,Wadgaon Sheri,Pune,18.55271912,73.92081451,INR,1.0,0.0,Not Negotiable,Semi-Furnished,550.0,0.0,15000.0
1,BHK,Apartment,Pimple Nilakh,Pune,18.57625198,73.78787231,INR,1.0,0.0,Not Negotiable,Unfurnished,600.0,0.0,18000.0
3,BHK,Apartment,Chinchwad,Pune,18.65039825,73.79167938,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1354.0,0.0,30000.0
2,BHK,Apartment,Hadapsar,Pune,18.51910019,73.9276123,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1200.0,0.0,33000.0
2,BHK,Apartment,Gultekdi,Pune,18.48172569,73.86858368,INR,2.0,0.0,Not Negotiable,Furnished,950.0,0.0,25000.0
1,RK,Studio Apartment,Karve Nagar,Pune,18.49023247,73.819664,INR,1.0,0.0,Not Negotiable,Unfurnished,350.0,0.0,11000.0
3,BHK,Apartment,Baner,Pune,18.56738091,73.78688049,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1400.0,0.0,42000.0
3,BHK,Apartment,Sopan Baug,Pune,18.51603508,73.90481567,INR,3.0,0.0,Not Negotiable,Unfurnished,2310.0,0.0,60000.0
